Test set Size =           1;	Fault Coverage : 0.140625 
Test set Size =         126;	Fault Coverage : 0.967187 
Test set Size =         127;	Fault Coverage : 0.967708 
Test set Size =         128;	Fault Coverage : 0.968750 
Test set Size =         129;	Fault Coverage : 0.968750 
Test set Size =         130;	Fault Coverage : 0.968750 
Test set Size =         131;	Fault Coverage : 0.968750 
Test set Size =         132;	Fault Coverage : 0.968750 
Test set Size =         133;	Fault Coverage : 0.968750 
Test set Size =         134;	Fault Coverage : 0.969271 
Test set Size =         135;	Fault Coverage : 0.969271 
Test set Size =         136;	Fault Coverage : 0.969271 
Test set Size =         137;	Fault Coverage : 0.969271 
Test set Size =         138;	Fault Coverage : 0.969271 
Test set Size =         139;	Fault Coverage : 0.969271 
Test set Size =         140;	Fault Coverage : 0.969271 
Test set Size =         141;	Fault Coverage : 0.969271 
Test set Size =         142;	Fault Coverage : 0.969271 
Test set Size =         143;	Fault Coverage : 0.969271 
Test set Size =         144;	Fault Coverage : 0.969271 
Test set Size =         145;	Fault Coverage : 0.969271 
Test set Size =         146;	Fault Coverage : 0.969271 
Test set Size =         147;	Fault Coverage : 0.969271 
Test set Size =         148;	Fault Coverage : 0.969271 
Test set Size =         149;	Fault Coverage : 0.969271 
Test set Size =         150;	Fault Coverage : 0.969271 
Test set Size =         151;	Fault Coverage : 0.969271 
Test set Size =         152;	Fault Coverage : 0.969271 
Test set Size =         153;	Fault Coverage : 0.969271 
Test set Size =         154;	Fault Coverage : 0.969271 
Test set Size =         155;	Fault Coverage : 0.969271 
Test set Size =         156;	Fault Coverage : 0.969271 
Test set Size =         157;	Fault Coverage : 0.970833 
Test set Size =         158;	Fault Coverage : 0.970833 
Test set Size =         159;	Fault Coverage : 0.970833 
Test set Size =         160;	Fault Coverage : 0.970833 
Test set Size =         161;	Fault Coverage : 0.973437 
Test set Size =         162;	Fault Coverage : 0.973437 
Test set Size =         163;	Fault Coverage : 0.973437 
Test set Size =         164;	Fault Coverage : 0.973437 
Test set Size =         165;	Fault Coverage : 0.973437 
Test set Size =         166;	Fault Coverage : 0.973437 
Test set Size =         167;	Fault Coverage : 0.973437 
Test set Size =         168;	Fault Coverage : 0.973437 
Test set Size =         169;	Fault Coverage : 0.973437 
Test set Size =         170;	Fault Coverage : 0.973437 
Test set Size =         171;	Fault Coverage : 0.973437 
Test set Size =         172;	Fault Coverage : 0.973437 
Test set Size =         173;	Fault Coverage : 0.973437 
Test set Size =         174;	Fault Coverage : 0.973437 
Test set Size =         175;	Fault Coverage : 0.975000 
Test set Size =         176;	Fault Coverage : 0.975000 
Test set Size =         177;	Fault Coverage : 0.975000 
Test set Size =         178;	Fault Coverage : 0.975000 
Test set Size =         179;	Fault Coverage : 0.975000 
Test set Size =         180;	Fault Coverage : 0.975000 
Test set Size =         181;	Fault Coverage : 0.975000 
Test set Size =         182;	Fault Coverage : 0.975000 
Test set Size =         183;	Fault Coverage : 0.975000 
Test set Size =         184;	Fault Coverage : 0.975000 
Test set Size =         185;	Fault Coverage : 0.975000 
Test set Size =         186;	Fault Coverage : 0.975000 
Test set Size =         187;	Fault Coverage : 0.975000 
Test set Size =         188;	Fault Coverage : 0.975000 
Test set Size =         189;	Fault Coverage : 0.975000 
Test set Size =         190;	Fault Coverage : 0.975000 
Test set Size =         191;	Fault Coverage : 0.975000 
Test set Size =         192;	Fault Coverage : 0.975521 
Test set Size =         193;	Fault Coverage : 0.975521 
Test set Size =         194;	Fault Coverage : 0.975521 
Test set Size =         195;	Fault Coverage : 0.975521 
Test set Size =         196;	Fault Coverage : 0.975521 
Test set Size =         197;	Fault Coverage : 0.975521 
Test set Size =         198;	Fault Coverage : 0.975521 
Test set Size =         199;	Fault Coverage : 0.975521 
Test set Size =         200;	Fault Coverage : 0.975521 
Test set Size =         201;	Fault Coverage : 0.975521 
Test set Size =         202;	Fault Coverage : 0.975521 
Test set Size =         203;	Fault Coverage : 0.975521 
Test set Size =         204;	Fault Coverage : 0.975521 
Test set Size =         205;	Fault Coverage : 0.975521 
Test set Size =         206;	Fault Coverage : 0.975521 
Test set Size =         207;	Fault Coverage : 0.977604 
Test set Size =         208;	Fault Coverage : 0.978646 
Test set Size =         209;	Fault Coverage : 0.978646 
Test set Size =         210;	Fault Coverage : 0.978646 
Test set Size =         211;	Fault Coverage : 0.978646 
Test set Size =         212;	Fault Coverage : 0.978646 
Test set Size =         213;	Fault Coverage : 0.978646 
Test set Size =         214;	Fault Coverage : 0.978646 
Test set Size =         215;	Fault Coverage : 0.978646 
Test set Size =         216;	Fault Coverage : 0.978646 
Test set Size =         217;	Fault Coverage : 0.978646 
Test set Size =         218;	Fault Coverage : 0.978646 
Test set Size =         219;	Fault Coverage : 0.978646 
Test set Size =         220;	Fault Coverage : 0.978646 
Test set Size =         221;	Fault Coverage : 0.978646 
Test set Size =         222;	Fault Coverage : 0.978646 
Test set Size =         223;	Fault Coverage : 0.978646 
Test set Size =         224;	Fault Coverage : 0.979167 
Test set Size =         225;	Fault Coverage : 0.979167 
Test set Size =         226;	Fault Coverage : 0.979167 
Test set Size =         227;	Fault Coverage : 0.979167 
Test set Size =         228;	Fault Coverage : 0.979167 
Test set Size =         229;	Fault Coverage : 0.979167 
Test set Size =         230;	Fault Coverage : 0.979167 
Test set Size =         231;	Fault Coverage : 0.979167 
Test set Size =         232;	Fault Coverage : 0.979167 
Test set Size =         233;	Fault Coverage : 0.979688 
Test set Size =         234;	Fault Coverage : 0.979688 
Test set Size =         235;	Fault Coverage : 0.979688 
Test set Size =         236;	Fault Coverage : 0.979688 
Test set Size =         237;	Fault Coverage : 0.979688 
Test set Size =         238;	Fault Coverage : 0.980729 
Test set Size =         239;	Fault Coverage : 0.980729 
Test set Size =         240;	Fault Coverage : 0.980729 
Test set Size =         241;	Fault Coverage : 0.980729 
Test set Size =         242;	Fault Coverage : 0.980729 
Test set Size =         243;	Fault Coverage : 0.980729 
Test set Size =         244;	Fault Coverage : 0.980729 
Test set Size =         245;	Fault Coverage : 0.980729 
Test set Size =         246;	Fault Coverage : 0.981250 
Test set Size =         247;	Fault Coverage : 0.981250 
Test set Size =         248;	Fault Coverage : 0.981250 
Test set Size =         249;	Fault Coverage : 0.981250 
Test set Size =         250;	Fault Coverage : 0.981250 
Simulation Time:               568590 
